ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
848,PROPAMOCARB HIDROCLORURO,ZEPELIN SL,NUFARM COLOMBIA S.A,,700 g/L,SL,CHINA
849,OXICLORURO DE COBRE,OXICLORURO DE COBRE  AGROCIENCIAS,GRUPO  AGROCIENCIAS,,350 g/Kg,WP,COLOMBIA
850,THIODICARB,SADDLER 350 FS,ROTAM AGRO COLOMBIA S.A.S,,350 g/L,FS,CHINA
851,IMIDACLOPRID TEBUCONAZOLE,CHAMAN FS,ANASAC COLOMBIA LTDA,,"233 g/lL, 13 g/L",FS,"CHILE, CHINA"
852,IMIDACLOPRID,CONFIAL 350 SC,QUIMICA SAGAL DE COLOMBIA LTDA,,350 g/L,SC,MEXICO
853,PYRIMETHANIL,BUCANERO 40 SC,ROTAM AGRO COLOMBIA S.A.S,,400 g/L,SC,CHINA COLOMBIA
854,CARBENDAZIM,CARBELAQ 50 SC,IMPORTADORA COLOMBIANA DE PRODUCTOS VETERINARIOS LTDA IMCOLVET,,500 g/L,SC,ECUADOR
855,THIRAM,BANGUARD 42 SC,"CLABEREP REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA""",,420 g/L,SC,BELGICA
856,BISPIRIBAC SODIO Y OXADIAZON,MAGO 550 SC,QUIMICOS OMA S.A,,"50 g/L,  500 g/L",SC,"COLOMBIA
,CHINA"
857,TRICYCLAZOLE,TRICYCLAZOL INPRO 75 WP,INPROARROZ LTDA,,750 g/L,WP,CHINA
858,METSUFURON METHYL,METS 600 WG,INSUMOS&SERVICIOS LTDA,,600.0 grs,WG,CHINA
859,METIRAM AMETOCTRADIN,ORVEGO  WG,BASF QUIMICA COLOMBIANA S.A,,"440 g/L,120 g/L",WG,ALEMANIA
860,PYRIMETHANIL,SIRION  40 SC,TRUST QUIMICA S.A.S,,400 g/L,SC,CHINA
862,THIABENDAZOLE,SELLABAC 20 SC,"COMERCIALIZADORA INTERNACIONAL BANACOL DE COLOMBIA
S.A              ""CI BANACOL""",,200 g/L,SC,COLOMBIA
863,FLUTRIAFOL,ASPEN  500 SC,FMC LATINOAMERICA SA SUCURSAL COLOMBIA,,500 g/L,SC,BRASIL COLOMBIA
864,BIFENTHRIN,CAPTURE  400 EC,FMC LATINOAMERICA S.A,,500 g/L,EC,BRASIL
865,DIAFENTURON,SHARFENTIURON 25 SC,SHARDA COLOMBIA S.A,,250 g/L,SC,INDIA
866,DIMETHOMORPH + PROPAMOCARB,ZOOM 650 SC,QUIMICOS OMA S.A,,"300 g/L, 350 g/L",SC,COLOMBIA CHINA
867,DIFECONAZOL+ PROCHLORAZ,SPAX 80 ME,QUIMICOS OMA S.A,,"45 g/L,35 g/L",ME,COLOMBIA
868,PROPAMOCARB HCL METALAXIL,ZAFIRO 425 ME,QUIMICOS OMA S.A,,"350 g/L ,75 g/L",ME,COLOMBIA
869,TRICICLAZOLE,TRICIFED 75 WP,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,750 g/Kg,WP,COLOMBIA
870,AZOXYSTROBIN TRIDEMORPH,TOPGUN  SE,INTEROC S.A SUCURSAL COLOMBIA,,"125 g/L, 215 g/L",SE,ECUADOR
871,BENSULFURON METHYL,BELGRAN  WG,INTEROC S.A SUCURSAL COLOMBIA,,600 g/Kg,WG,CHINA ECUADOR
872,ABAMECTINA,NUMEK  1.8 EC,NUFARM DE  COLOMBIA S.A.,,18 g/L,EC,"CHINA, INDIA"
873,CYHALOFOP-BUTYL,TRINCHERA  180 EC,INVESA  S.A,,180 g/L,WG,COLOMBIA
874,GLIFOSATO SAL AMONIO,PANZER 747 WG,INVESA S.A,,747 g/kg,WG,CHINA
875,HEXACONAZOL PROPICONAZOL,STOPPER OMA 80 ME,QUIMICOS OMA S.A,,"40 g/L,  40 g/L",ME,COLOMBIA CHINA
876,PENDIMETALINA,SELLALIN 500 EC,CHEMINOVA AGRO DE COLOMBIA S.A,,500 g/L,EC,INDIA
877,PARAQUAT,NUQUAT 200 SL,NUFARM DE  COLOMBIA S.A.,,200 g/L,SL,CHINA
878,PARAQUAT,HERBIQUAT  20 SL,NUFARM DE  COLOMBIA S.A.,,200 g/L,SL,CHINA
879,LAMBDACYHALOTRI NA FIPRONIL,CASTA 310 SC,QUIMICOS OMA S.A,,"60 g/L,  250 g/L",SC,COLOMBIA CHINA
880,KAZUGAMYCINA,SHAZUGAMYCIN 2% SL,SHARDA COLOMBIA S.A,,20 g/L,SL,INDIA
881,LAMBDACYHALOTRI NA,LAMDINESA 50 EC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,50 g/L,EC,CHINA
882,MANCOZEB,COLYZEB 80 WG,AGRO LINE S.A.S,,800 g/Kg,WG,INDIA
883,NICOSULFURON,NARVAL 75 WG,ROTAM AGRO COLOMBIA S.A.S,,750 gKg,WG,CHINA
884,CLOROTALONIL,CLOROTALONIL EVOFARMS 720 SC,UPL COLOMBIA S.A.S.,,720 g/L,SC,CHINA
885,METHOMYL,METOMIL VASCAL40 SP,"COMERCILALIZADORA INTERNACIONAL  VASCAL DE COLOMBIA LTDA ""C.I VASCAL LTDA""",,405.6 g/kg,SP,CHINA
886,GLIFOSATO,CREDIT  747 SG,NUFARM COLOMBIA S.A,,680 g/Kg,SG,CHINA
887,QUINCLORAC,CUT EVOFARMS 250 SC,UPL COLOMBIA S.A.S.,,250 g/L,SC,CHINA
888,DIMETHOMORPH,SENSEI 500 WP,TALANU CHEMICAL LTDA,,500 g/kg,WP,CHINA
889,ACETAMIPRID NOVALURON,CORMORAN ,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"80 g/L , 100 g/L",EC,ISRAEL COLOMBIA
890,"2,4-D",AMINA YASER 720 SL,YASER S.A.S,,720 g/L,SL,CHINA
891,GLIFOSATO,GLIFOSATO YASER 480 SL,YASER S.A.S,,480 g/L,SL,CHINA
892,IMIDACLOPRID FIPRONIL,AUGE 590 SC,QUIMICOS OMA S.A,,"450 g/L, 140 g/L",SC,COLOMBIA CHINA
893,IMIDACLOPRID LAMBDACYHALOTRI NA,BOREY  SC,AVGUST COLOMBIA S.A.S,,"150 g/L, 50 g/L",SC,"RUSIA, CHINA"
894,CLOMAZONE,SARGENT ,INTEROC S.A SUCURSAL COLOMBIA,,480 g/L,EC,CHINA
895,QUINCLORAC,ESTADIUM 250 SC,TALANU CHEMICAL LTDA,,250 g/L,SC,HONG KONG CHINA
896,CYMOXANIL PROPINEB,VIATORAZ 76 WP,"VENDEDORA DE INSUMOS AGROPECUARIOS S.A."" VIA S.A""",,"60 g/kg,  700 g/kg",WP,CHINA
897,PROPICONAZOLE,PROPILAQ 25 EC,IMPORTADORA COLOMBIANA DE PRODUCTOS VETERINARIOS LTDA IMCOLVET,,250 g/L,EC,ECUADOR
898,PARAQUAT,DUNKA  20 SL,TRUST QUIMICA S.A.S,,200 g/L,SL,COLOMBIA CHINA
899,IMIDACLOPRID NOVALUCRON,GRIZLY  205 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"175 g/L, 30g/L",SC,COLOMBIA ISRAEL
900,NOCOSULFURON,ZEAMAX 75 WP,ANASAC COLOMBIA LTDA,,750 g/Kg,WP,"CHILE, CHINA"
901,FENTIN HIDROXIDO,SHARFENT 20 WP,SHARDA COLOMBIA S.A,,200 g/kg,WP,INDIA
902,CHLORFENAPYR,FASTER 24 SC,NUFARM COLOMBIA S.A,,240 g/L,SC,CHINA COLOMBIA
903,CLOROTALONIL,URKAN ,INTEROC S.A SUCURSAL COLOMBIA,,720 g/L,SC,ECUADOR CHINA
904,AZOXYSTROBIN TEBUCONAZOLE,AZIMUT 320 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"120 g/L ,200 g/L",SC,ISRAEL COLOMBIA
905,CARBENDAZIM,CARBENDAZELL 50 SC,ZELL CHEMIE COLOMBIA LTDA,,500 g/L,SC,ESPAÜA
906,TEBUCONAZOLE,TEBUCONAZOLE FEDEARROZ 250 EW,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,250 g/L,EW,INDIA COLOMBIA
907,BISPYRIBAC SODIUM,BISPYRIFED 400 SC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,400 g/L,SC,CHINA COLOMBIA
908,CIPERMETRINA,CYMETRIC  20 EC,AYAZAK S.A.S,,200 g/L,EC,CHINA
909,CYHALOFOP BUTYL,SKANDA 18 EC,SHARDA COLOMBIA S.A.S,,500 g/L,EC,INDIA
910,BYSPIRIBAC SODIUM,STARBIS 100 SC,SHARDA COLOMBIA S.A,,100 g/L,SC,INDIA
911,"2,4 D+ PICLORAM",RASOR SL,SHARDA COLOMBIA S.A,,"240 g/L,64 g/L",SL,INDIA
912,ASOXYSTROBIN,ASOXYSTROBIN SHARDA 25 EC,SHARDA COLOMBIA S.A,,250 g/L,SC,INDIA
914,PROPICONAZOLE TEBUCONAZOLE,NOMAD EC,AVGUST COLOMBIA S.A.S,,"300 g/L ,200 g/L",EC,"RUSIA ,CHINA"
915,CARBENDAZIM+PRO PICONAZOL,KEMPRO  SC,INTEROC S.A SUCURSAL COLOMBIA,,"125 g/L,  125 g/L",SC,"CHINA, ECUADOR"
916,IMIDACLOPRID THIDICARB,CRUCIAL,INTEROC S.A SUCURSAL COLOMBIA,,"155 g/L ,300 g/L",FS,"CHINA, ECUADOR"
917,NOVALURON,RIMON 10 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,100 g/L,EC,ISRAEL
918,LAMBDACIHALOTRIN,LABEL ,RED SURCOS COLOMBIA LTDA,,50 g/L,EC,ARGENTINA
919,FIPRONIL,WIKING 200  SE,FMC COLOMBIA S.A.S,,200 g/L,SE,URUGUAY ALEMANIA CHINA ARGENTINA
920,GLIFOSATO,GLIFOSATO SHARDA 480 SL,SHARDA COLOMBIA S.A,,481.5 g/L,SL,INDIA
921,DICAMBA,HERBAMBA 480 SC,HELM ANDINA LTDA,,480 g/L,SL,CHINA
922,CARFENTRAZONE- ETHYL,SPEED UP,FMC LATINOAMERICA S.A SUCURSAL COLOMBIA,,400 g/L,EC,BRASIL
923,CYHALOFOP BUTYL,CYHALOFOP BUTYL EC- DVA,DVA DE COLOMBIA LTDA,,180 g/L,EC,CHINA
924,TRIDEMORPH,SIGACUR 86 OL,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,860 g/L,OL,CHINA
925,EPOXICONAZOLE KREXOXIM METIL,KRESOX SC,SHARDA COLOMBIA S.A.S,,"125 g/L ,125 g/L",SC,INDIA
926,BUPIRIMATO AZUFRE,HALLEY,INTEROC S.A SUCURSAL COLOMBIA,,"126.7 g/L ,400 g/L",SE,ECUADOR
927,KASUGAMICINA,KASUGAMICINA 20 SC- DVA,DVA DE COLOMBIA LTDA,,20 g/L,SL,CHINA
928,CLETHODIM,CITRIN 120 EC,SHARDA COLOMBIA S.A,,120 g/L,EC,INDIA
929,DIFLUFENICAN,DAMAN 500 SC,SHARDA COLOMBIA S.A.S,,500 g/L,SC,INDIA
930,FIPRONL,FIPRONIL VECOL 200 SC,"EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS  S.A. - ""VECOL S.A.""",,200 g/L,SC,CHINA
931,IMIDACLOPRID,RECORD 350 SC,RED SURCOS COLOMBIA LTDA,,350 g/L,SC,ARGENTINA
932,CLORPIRIFOS,LORSBAN 2.5 DP,DOW AGROSCIENCES DE COLOMBIA S.A,,25 g/Kg,DP,COLOMBIA
933,CLORPIRIFOS,VEXTER 2.5 DP,DOW AGROSCIENCES DE COLOMBIA S.A,,25 g/Kg,DP,COLOMBIA
934,PROPAMOCARB CLORHIDRATADO,YOKER ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,722 g/L,SL,"CHINA, BULGARIA"
935,IPRODIONE,IPRODE 500 SC,ROTAM AGRO COLOMBIA S.A.S,,500 g/L,SC,CHINA
936,FIPRONIL,FIPRONIL 200 SC DVA,DVA DE COLOMBIA LTDA,,200 g/L,SC,CHINA
937,LUFENURON,OBNY ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,50 g/L,EC,CHINA
938,CYPROCONAZOLE,INDRANI SL,SHARDA COLOMBIA S.A,,100 g/L,SL,INDIA
939,OXYFLUORFEN,SHAROXY 240 EC,SHARDA COLOMBIA S.A,,240 g/L,EC,INDIA
940,BUTACLOR,PANIC 60 EC,AYAZAK S.A.S,,600 g/L,EC,CHINA
941,"2,4-D AMINA",TUFORDI 72 SL,AYAZAK S.A.S,,600 g/L,SL,CHINA
942,GLIFOSATO ACIDO,GLIFOXIL 48 SL,AYAZAK S.A.S,,360 g/L,SL,CHINA
943,GLUFOSINATO DE AMONIO,GLUFOSAM 150 SL,SHARDA COLOMBIA S.A.S,,150 g/L,SL,INDIA
944,BISPYRIBAC SODIUM,MAPLE 400 SC,"CLABEREP REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA """,,400 g/L,SC,CHINA
945,CHLORFENAPYR,CHUSOK  24 SC,TRUST QUIMICA S.A.S,,240  g/L,SC,COLOMBIA CHINA
946,ABAMECTINA,CANDONGA 1.8 EC,INVESA S.A,,18 g/L,EC,COLOMBIA
947,IMIDACLOPRID,AVANT 35 SC,TORREAGRO S.A.S,,36.84 g/L,SC,ESPAÜA
948,PENDIMETALINA,LINAP 9 ME,QUIMICOS OMA S.A,,90 g/L,ME,CHINA COLOMBIA
949,PROCHLORAZ,DEMINAK POS 90 ME,QUIMICOS OMA S.A,,90 g/L,ME,COLOMBIA
950,CYHALOFOP BUTYL ESTER,CYAPLOS 180 EC,"CLABEREP REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA""",,180 g/L,EC,CHINA
951,ZIRAM,ZIRAM 76 GRANUFLO,"CLABEREP REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA""",,760 g/kg,WG,BELGICA
952,SULFENTRAZONE,BORAL 500 SC,FMC LATINOAMERICA S.A,,500 g/L,SC,BRASIL
953,PYRIMETHANIL,BLUMEN  40 SC,NUFARM COLOMBIA S.A,,400 g/L,SC,CHINA
954,AZOXYSTROBIN+ TEBUCONAZOLE,SXTRATA GOLD 240 SC,ROTAM AGRO COLOMBIA S.A.S,,"80 g/L,   160 g/L",SC,"CHINA
, COLOMBIA"
955,PARAQUAT,GRAMAFIN  200 SL,INVESA  S.A,,200 g/L,SL,COLOMBIA
956,GLIFOSATO,ESKOBA AMONIO SL,"RED SURCOS COLOMBIA
LTDA",,400 g/L,SL,ARGENTINA
957,THIRAM PYRIMETHANIL,BOTRILEX,INTEROC S.A SUCURSAL COLOMBIA,,"345 g/L, 215 g/L",SC,ECUADOR
958,"CYPRODINIL +
PROCHLORAZ",BORDO,"INTEROC S.A SUCURSAL
COLOMBIA",,"230 g/L, 360 g/L",EC,ECUADOR
959,CLORPIRIFOS,ARRIERO  2.5 DP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,25 g/Kg,DP,COLOMBIA
960,CLOROTALONIL,CONTROL  500 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,500 g/L,SC,COLOMBIA
961,CLOROTALONIL,CLORTOCAFARRO  500 SC,ISAGRO COLOMBIA S.A.S,,500 g/L,SC,CHINA
962,DIMETOMORPH,CANEL ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,500 g/kg,WP,CHINA
963,CIROMAZINA,CIROMAZELL 75 WP,ZELL CHEMIE COLOMBIA LTDA,,750 g/kg,WP,ESPAÜA
964,DELTAMETRINA,PARCERO 2.5 EC,DACARSA E.U,,25 g/L,EC,COLOMBIA
965,TEBUCONAZOL,TEBUCONAZELL 25 EW,ZELL CHEMIE COLOMBIA LTDA,,263 g/L,EW,ESPAÜA
966,FIPRONIL,HORMIX SB,MINAGRO INDUSTRIA QUIMICA LTDA,,0.03 g/Kg,SB,COLOMBIA
967,PROPAMOCARB HYDROCLORURO,RAKH  SL,TRUST QUIMICA S.A.S.,,700 g/L,SL,CHINA
968,DIURON,MAGENTA  SC,RED SURCOS COLOMBIA LTDA,,800 g/L,SC,ARGENTINA
969,LAMBDACIHALOTRIN A CIROMAZINA,TUMBADOR 250 SC,QUIMICOS OMA S.A,,"50 g/L, 200 g/L",SC,"COLOMBIA,CHIN A"
970,"2,4-D",SINPAR  SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,600 g/L,SL,POLONIA COLOMBIA
971,CYHALOFOP BUTYL,CIALOFED EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,180 g/L,EC,"COLOMBIA, INDIA"
972,FLUMORPH + FOSETYL ALUMINIO,ARKONI,INTEROC S.A SUCURSAL COLOMBIA,,"50 g/Kg,  450 g/kg",WP,"CHINA
, ECUADOR"
973,METAMITRON,GOLTIX 700 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,700 g/L,SC,ISRAEL COLOMBIA
974,LUFENURON,BANGOT  50 EC,INVESA  S.A,,50 g/L,EC,COLOMBIA
975,AZOXYSTROBIN,AZAKA ,FMC COLOMBIA S.A.S,,250 g/L,SC,"URUGUA , INDIA"
976,"AMINOPYRALID 2,4-D",CHAPARRAL SL,DOW AGROSCIENCES DE COLOMBIA S.A,,"9 g/L, 180 g/L",SL,COLOMBIA
977,LAMDA CYHALOTRIN THIAMETHOXAM,CONQUEST ,SYNGENTA S.A,,"106 g/L, 141 g/L",SC,BRASIL ESTADOS UNIDOS
979,IMIDACLOPRID,IMIDAZELL 35 SC,ZELL CHEMIE COLOMBIA LTDA,,350 g/L,SC,ESPAÜA
980,FLUMORPH MANCOZEB,DORPHUM 60 WP,VALEMAS S.A.S,,100 g/Kg,WP,CHINA
982,METALDEHIDO METOMIL CARBARIL,BABOXA ,"MINAGRO INDUSTRIA QUIMICA LTDA ""MINAGRO LTDA""",,"3 g/L, 3 g/L , 5 g/L",SB,COLOMBIA
983,IMIDACLOPRID,IMIDACLOPRID 350 SC DVA,DVA DE COLOMBIA LTDA,,350 g/L,SC,CHINA
984,BISPYRIBAC SODIUM,PALATINO NOVAG  400 SC,NOVAG S.A.S,,400 g/L,SC,CHINA
985,AZOXISTROBIN,SANIUM VECOL 250SC,"EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS  S.A. - ""VECOL S.A.""",,250 g/L,SC,CHINA
986,QUINCLORAC,QUINCLORAC 250 SC- DVA,DVA DE COLOMBIA LTDA,,250 g/L,SC,CHINA
987,"2,4 D+PICLORAM",HELM LABRADOR 304 SL,HELM ANDINA LTDA,,247 g/L,SL,"CHINA, COLOMBIA"
988,CLOMAZONE,CLOMAFED  EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,480 g/L,EC,"COLOMBIA, INDIA,CHINA"
989,LUFENURON,ULTIMATUM  5 EC,POINT DE COLOMBIA S.A.S,,50 g/L,EC,CHINA
990,BIFENTRINA,KUNFU  100 EC,INVESA S.A,,100 g/L,EC,COLOMBIA
991,GLUFOSINATO DE AMONIO,DESTIERRO  SL,INVESA S.A,,150 g/L,SL,COLOMBIA
992,FOSETYL ALUMINIO,FOSTAL,SEMBRO S.A,,200 g/L,WP,"CHINA, INDIA"
993,IMIDACLOPRID,FIPRID,SEMBRO S.A,,750 g/L,SC,INDIA
994,BIFENTHRIN,TALSTAR 100 EC,FMC  LATINOAMERICANA S.A,,100 g/L,EC,BRASIL
995,FLUTRIAFOL AZOXYSTROBIN,AUTHORITY  250 SC,FMC COLOMBIA S.A.S,,"125 g/L,125 g/L",SC,"INDIA, URUGUAY
, ARGENTINA
, BRASIL"
996,CARBENDAZIM+ FLUTRIAFOL,BILLARD  SC,HANSEANDINA LTDA,,"300 g/L, 200 g/L",SC,CHINA HONG KONG
997,CARFENTRAZONE ETHYL,KATRINA,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,400 g/L,EC,CHINA
998,TIOLFENPYRAD,OMI-88 15 EC,SUMMIT AGRO COLOMBIA S.A.S,,150.8 g/L,EC,JAPON
1000,"AMINOPYRALID SAL
POTASICA Y METSULFURON",MAZO*,DOW AGROSCIENCES DE COLOMBIA S.A,,"621.3 g/kg, 25.9 g/kg",WG,USA
1001,DODEMORPH ACETATE,RETEN 6 ME,QUIMICOS OMA S.A,,"40 g/L,20 g/L",ME,"COLOMBIA
,CHINA"
1002,BUPIRIMATO,FARO 40 ME,QUIMICOS OMA S.A,,40 g/L,ME,"COLOMBIA
, CHINA"
1003,2.4-D,AMINA AGRODIA  720 SL,AGRODIA S.A,,597 g/L,SL,CHINA
1004,CARBENDAZIM,CARBENDAZIM 500 SC - DVA,DVA DE COLOMBIA LTDA,,500 g/L,SC,CHINA
1005,"2,4-D","2,4-D AMINA 720 SL",DVA DE COLOMBIA LTDA,,597 g/L,SL,CHINA
1006,DIFLUBENZURON,CORIDA 480 SC,HANSEANDINA LTDA,,480 g/L,SC,BULGARIA
1007,PROPAMOCARB HIDROCLORURO,TREPAK 722 SL,HANSEANDINA LTDA,,722 g/L,SL,BULGARIA
1008,MANCOZEB CYMOXANIL,RESPECT BUL 722 WP,HANSEANDINA LTDA,,"640 g/Kg , 80 g/Kg",WP,BULGARIA
1009,PYRIMETHANIL,PRAGA,INTEROC S.A SUCURSAL COLOMBIA,,600 g/L,SC,ECUADOR
1010,DIFENOCONAZOLE PYRACLOSTROBIN,QUANTUM,INTEROC S.A SUCURSAL COLOMBIA,,"250 g/L,78.7 g/L",EC,ECUADOR
1011,METAM SODIO,MERCENARIO 42 LS,CLABEREP LTDA CLABE REPRESENTACIONES COLOMBIANAS LTDA,,500 g/L,SL,BELGICA
1012,CLORPIRIFOS,PYRINEX  4 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,EC,COLOMBIA ISRAEL
1013,CYHALOFOP BUTYL,ANTARES 18 EC,ANASAC COLOMBIA LTDA,,180 g/L,EC,"CHILE, CHINA"
1014,PARAQUAT,ACTINIC  200 SL,TECNOQUIMICAS  S.A,,2300 g/L,SL,COLOMBIA
1015,MANCOZEB CYMOXANIL,CYMGOTA 72 WP,AYAZAK S.A.S,,"64%,  8%",WP,CHINA
1016,AZOXYSTROBIN,TIAGO 25 SC,ANASAC COLOMBIA LTDA,,250 g/L,SC,"CHILE,CHINA"
1017,BISPYRIBAC SODIUM,BAIKAL  SC,AVGUST COLOMBIA S.A.S,,400 g/L,SC,"RUSIA, CHINA"
1018,GLUFOSINATO DE AMONIO,EVOSTAR EVOFARMS 200 SL,UPL COLOMBIA S.A.S.,,200 g/L,SL,"CHINA, INDIA"
1019,ABAMECTINA,ABAMECTINA 1.8 EC - DVA,DVA DE COLOMBIA LTDA,,18 g/L,EC,CHINA
1020,"AMINOPYRALID 2,4-D",FOREFRONT SL,DOW AGROSCIENCES DE COLOMBIA S.A,,"40 g/L,320 g/L",SL,COLOMBIA
1021,"LAMBDACIHALOTRIN
A","LAMBDACIHALOTRINA
INPRO  50 EC",INPROARROZ LTDA,,50 g/L,EC,CHINA
1022,ISOPROTIOLANE,FUNGIOLAN INPRO 400,INPROARROZ LTDA,,400 g/L,EC,CHINA
1023,"2,4-D","2,4-D AMINA INPRO 480",INPROARROZ S.A,,480 g/L,SL,CHINA
1024,"AMINOPYRALID
METSULFURON-",HALCON*,DOW AGROSCIENCES DE COLOMBIA S.A,,"621,3 g/Kg ,94,5 g/Kg",WG,ESTADOS UNIDOS
1025,BISPYRIBAC SODIO,BISPYRIBAC INPRO 400 SC,INPROARROZ LTDA,,400 g/L,SC,CHINA
1026,POLIVINIL PIRROLIDONA,YODOSAFER SL,SAFER AGROBIOLOGICOS S.A.S,,120 g/L,SL,COLOMBIA
1027,PROPICONAZOLE,PROPIVAG  250 EC,NOVAG S.A.S,,250 g/L,EC,CHINA
1028,AZOXYSTROBIN,AZOFED 25 SC,FEDERACION  NACIONAL DE ARROCEROS- FEDEARROZ,,250 g/L,SC,CHINA COLOMBIA
1029,GLIFOSATO,ESKOBA  SL,RED SURCOS COLOMBIA LTDA,,356 g/L,SL,ARGENTINA
1030,CLOROTALONIL,CONTROL 720 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,500 g/L,SC,COLOMBIA
1031,CLORPIRIFOS CIPERMETRINA,RELAMPAGO 550 EC,ADAMA LANDINA B.V SUCURSAL COLOMBIA,,"500 g/L , 50 g/L",EC,COLOMBIA
1032,METRIBUZIN,SPRINTER 75 WG,FMC COLOMBIA S.A.S,,750 g/L,WG,INDIA
1033,PYRAZOSULFURON ETHYL,PYRASUL INPRO 100 WP,INPROARROZ LTDA,,100 g/Kg,WP,CHINA
1034,DIMETOATO,KOLEO INPRO 400 EC,INPROARROZ S.A.,,400 g/L,EC,CHINA
1035,THIODICARB,PREDOM 800 WG,ROTAM AGRO COLOMBIA S.A.S,,800 g/kg,WG,CHINA
1036,FOLPET,LANZADOR  SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,500 g/L,SC,ISRAEL COLOMBIA
1037,IPCONAZOLE,RANCONA 15 ME,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,15 g/L,ME,ITALIA
1038,DIFENOCONAZOL,DIFENOCONAZOLE INPRO 250 EC,"INDUSTRIA PRODUCTORA DE ARROZ
S.A ""INPROARROZ S.A""",,250 g/L,EC,CHINA
1039,CYHALOFOP BUTYL,CYHALOFOP BUTYL INPRO 180 EC,INPROARROZ LTDA,,180 g/L,EC,CHINA
1040,DIFENOCONAZOLE,DIFECOLAQ 250 EC,"IMPORTADORA COLOMBIANA DE PRODUCTOS VETERINARIOS LTDA ""IMCOLVET """,,250 g/L,EC,ECUADOR
1041,ACIDO OXOLINICO,OXOLINA 200 SC,NOVAG S.A.S,,200 g/L,SC,CHINA
1042,CLORPIRIFOS,LORSBAN 4 EC,DOW AGROSCIENCES DE COLOMBIA S.A,,480 g/L,EC,COLOMBIA
1043,CLORPIRIFOS CIPERMETRINA,VEXTER 550 EC,DOW AGROSCIENCES DE COLOMBIA S.A,,500 g/L   50 g/L,EC,COLOMBIA
1044,CLORPIRIFOS,VEXTER 4 EC,DOW AGROSCIENCES DE COLOMBIA S.A,,480 g/L,EC,COLOMBIA
1045,CLORPIRIFOS,TRAPPER  EC,DOW AGROSCIENCES DE COLOMBIA S.A,,480 g/L,EC,COLOMBIA
1046,CLORPIRIFOS,RAFAGA 4 EC,INVESA S.A,,480 g/L,EC,COLOMBIA
1047,CLORPIRIFOS CIPERMETRINA,LATIGO EC,DOW AGROSCIENCES DE COLOMBIA S.A,,"500 g/L, 50 g/L",EC,COLOMBIA
1048,CYMOXANIL PROPINEB,TREGUA 76 WP,TALANU CHEMICAL LTDA,,"60 g/kg, 700 g/kg",WP,CHINA
1049,FIPRONIL,MOHICANO 200 SC,POINT DE COLOMBIA S.A.S,,200 g/L,SC,CHINA
1050,FIPRONIL,CHEYENNE 200 SC,POINT DE COLOMBIA S.A.S,,200 g/L,SC,CHINA
1051,FIPRONIL,CHEROKEE 200 SC,POINT DE COLOMBIA S.A.S,,200 g/L,SC,CHINA
1052,PYRAZOSULFURON,PYRO 250 SC,SHARDA COLOMBIA S.A,,250 g/L,SC,INDIA
1053,FLUSILAZOLE,FUSIL INPRO 400 EC,INPROARROZ LTDA,,400 g/L,EC,CHINA
1054,EPOXICONAXOLE,EPOXICONAZOLE  INPRO 125 SC,INPROARROZ LTDA,,125 g/L,SC,CHINA
1055,OXADIAZON,OXADIAZON INPRO 380 SC,INPROARROZ S.A.,,380 g/L,SC,CHINA
1056,IMIDACLOPRID,IMIDACLOPRID INPRO 600 FS,INPROARROZ LTDA,,600 g/L,FS,CHINA
1057,GLIFOSATO SAL ISOPROPILAMINA,GLIFOSOL GREEN,ARYSTA LIFESCIENCES COLOMBIA S.A.S,,480 g/L,SL,"CHINA
,COLOMBIA"
